time,latitude,longitude,depth_km,magnitude,mag_type,place
2024-12-20T18:58:26.893Z,33.2394,140.8067,52.505,4.5,mwr,"211 km SSE of Tateyama, Japan"
2024-12-20T18:22:39.340Z,-6.4479,105.0901,54.956,5,mww,"82 km W of Labuan, Indonesia"
2024-12-20T17:59:41.573Z,-60.247,-26.0543,10,4.6,mb,South Sandwich Islands region
2024-12-20T17:24:47.193Z,-18.9657,-173.027,10,4.8,mb,"106 km ESE of Neiafu, Tonga"
2024-12-20T17:04:52.154Z,-17.7148,168.163,35,4.9,mb,"16 km W of Port-Vila, Vanuatu"
2024-12-20T16:39:05.489Z,-3.5948,126.8501,10,4.8,mb,"148 km W of Ambon, Indonesia"
2024-12-20T15:42:43.959Z,10.8051,95.5221,10,4.5,mb,"Andaman Islands, India region"
2024-12-20T15:11:48.331Z,-11.843,166.0625,35,4.8,mb,"127 km SSE of Lata, Solomon Islands"
2024-12-20T14:33:08.570Z,-11.79,166.1011,25.974,5.4,mww,"122 km SSE of Lata, Solomon Islands"
2024-12-20T14:10:42.216Z,-11.7728,166.1893,13.051,5,mb,"123 km SSE of Lata, Solomon Islands"
2024-12-20T11:42:07.521Z,3.6954,126.5443,35,4.6,mb,"223 km SSE of Sarangani, Philippines"
2024-12-20T07:11:41.433Z,-16.708,28.8229,10,4.9,mb,"21 km S of Kariba, Zimbabwe"
2024-12-20T05:32:42.009Z,-33.6134,-67.9604,178.378,4.8,mb,"75 km SE of San Martín, Argentina"
2024-12-20T04:03:22.093Z,60.3514,-152.2681,83.8,4.5,mww,"47 km NW of Ninilchik, Alaska"
2024-12-20T03:49:40.776Z,-57.123,147.3108,10,4.5,mb,west of Macquarie Island
2024-12-20T00:15:31.447Z,-16.7151,28.8849,10,4.6,mb,"23 km SSE of Kariba, Zimbabwe"
2024-12-19T20:30:06.829Z,-41.0907,-86.6059,10,5.3,mww,West Chile Rise
2024-12-19T20:09:42.491Z,-60.7279,-22.1342,10,4.6,mb,South Sandwich Islands region
2024-12-19T19:31:00.283Z,13.6927,144.7199,108.444,4.6,mb,"23 km NNW of Dededo Village, Guam"
2024-12-19T19:22:19.211Z,11.9512,126.6021,10,5.1,mww,"121 km ESE of San Policarpo, Philippines"
2024-12-19T18:36:13.426Z,-20.1481,168.5242,10,5.1,mww,"103 km SW of Isangel, Vanuatu"
2024-12-19T16:51:21.717Z,5.6191,127.0599,74.798,4.8,mb,"127 km SE of Pondaguitan, Philippines"
2024-12-19T15:40:41.104Z,17.5878,119.646,10,4.6,mb,"75 km W of Cabittaogan, Philippines"
2024-12-19T15:17:16.955Z,-4.1271,151.9041,248.532,4.6,mb,"29 km WNW of Rabaul, Papua New Guinea"
2024-12-19T12:51:33.734Z,17.4547,119.3927,10,4.5,mb,"103 km W of Cabittaogan, Philippines"
2024-12-19T11:54:56.591Z,16.7275,147.2516,47.42,4.5,mb,"231 km NE of Saipan, Northern Mariana Islands"
2024-12-19T10:51:31.384Z,-6.3731,130.2604,153.71,4.6,mb,"287 km WSW of Tual, Indonesia"
2024-12-19T10:43:58.808Z,-17.6709,168.0946,35,4.7,mb,"24 km WNW of Port-Vila, Vanuatu"
2024-12-19T10:37:34.002Z,-60.6243,-25.6538,10,4.6,mb,South Sandwich Islands region
2024-12-19T10:14:59.236Z,-39.8528,-16.4382,10,4.5,mb,southern Mid-Atlantic Ridge
2024-12-19T07:24:03.776Z,-11.0116,165.8134,80.428,4.5,mb,"31 km S of Lata, Solomon Islands"
2024-12-19T06:59:34.597Z,17.5842,119.5736,10,4.6,mb,"83 km W of Cabittaogan, Philippines"
2024-12-19T06:57:34.728Z,-33.6476,-179.4454,10,4.5,mb,south of the Kermadec Islands
2024-12-19T06:55:00.503Z,17.6226,119.6247,10,5.1,mb,"78 km W of Cabittaogan, Philippines"
2024-12-19T06:42:24.830Z,17.6019,119.5289,10,5.1,mb,"88 km W of Cabittaogan, Philippines"
2024-12-19T06:16:25.285Z,-2.2551,128.1623,10,4.6,mb,"146 km NW of Masohi, Indonesia"
2024-12-19T03:43:11.719Z,17.5823,119.5511,10,4.6,mb,"85 km W of Cabittaogan, Philippines"
2024-12-19T02:46:30.951Z,-56.4736,147.5032,10,4.6,mb,west of Macquarie Island
2024-12-19T02:15:16.010Z,-8.3654,159.7562,10,4.5,mb,"30 km SE of Buala, Solomon Islands"
2024-12-19T02:12:40.361Z,17.7161,119.4621,10,4.6,mb,"95 km W of Puro Pinget, Philippines"
2024-12-19T02:07:02.512Z,-56.2848,147.3332,10,5.7,mww,west of Macquarie Island
2024-12-19T01:32:07.980Z,-16.9401,-64.4914,579.068,4.5,mb,"70 km E of Chimoré, Bolivia"
2024-12-19T01:17:14.642Z,-0.9215,98.9675,27.553,4.6,mb,"132 km WSW of Pariaman, Indonesia"
2024-12-19T01:09:51.222Z,17.608,119.5738,10,5.1,mb,"83 km W of Cabittaogan, Philippines"
2024-12-19T00:16:55.422Z,-6.3743,130.2604,158.689,4.5,mb,"287 km WSW of Tual, Indonesia"
2024-12-18T20:15:36.580Z,-58.5761,-25.1297,35,4.7,mb,South Sandwich Islands region
2024-12-18T20:12:51.935Z,-60.539,-26.5165,10,5,mb,South Sandwich Islands region
2024-12-18T19:18:35.289Z,-50.3238,112.7853,10,4.5,mb,southeast Indian Ridge
2024-12-18T19:04:30.518Z,17.6118,119.5083,10,4.7,mb,"90 km W of Cabittaogan, Philippines"
2024-12-18T18:15:07.504Z,17.5952,119.4341,10,4.5,mb,"98 km W of Cabittaogan, Philippines"
2024-12-18T17:53:26.610Z,-17.6764,167.9999,68.659,5.2,mww,"33 km WNW of Port-Vila, Vanuatu"
2024-12-18T17:38:13.678Z,17.6053,119.4867,10,4.5,mb,"92 km W of Cabittaogan, Philippines"
2024-12-18T17:33:20.158Z,-59.2427,-25.7298,35,4.5,mb,South Sandwich Islands region
2024-12-18T17:07:57.984Z,-16.7662,66.8256,10,4.6,mb,Mid-Indian Ridge
2024-12-18T16:26:46.038Z,57.2773,-33.7445,10,4.6,mb,Reykjanes Ridge
2024-12-18T16:02:49.309Z,17.483,119.5326,10,4.5,mb,"88 km W of Cabittaogan, Philippines"
2024-12-18T15:30:42.292Z,-17.4406,168.5128,10,4.6,mb,"38 km NNE of Port-Vila, Vanuatu"
